seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,quartile,a_opt_advantage
10207,50,50,8.46,4.58,8.46,4.58,0,0,0,0.09941668063402176,Q3,-3.880000000000001
10208,50,50,8.94,5.44,8.94,5.44,0,0,0,0.08925006538629532,Q2,-3.499999999999999
10209,50,50,9.78,6.78,10.04,4.9,4,0,0,0.11004975438117981,Q4 (high),-2.999999999999999
10210,50,50,8.44,4.8,8.44,4.8,0,0,0,0.096172995865345,Q3,-3.6399999999999997
10211,50,50,7.54,4.74,7.54,4.74,0,0,0,0.08901681751012802,Q2,-2.8
10212,50,50,7.9,3.98,7.9,3.98,0,0,0,0.10108405351638794,Q4 (high),-3.9200000000000004
10213,50,50,7.86,4.84,7.9,4.8,2,0,0,0.09454786032438278,Q3,-3.0200000000000005
10214,50,50,7.76,4.66,8.42,4.52,2,0,0,0.0930679589509964,Q2,-3.0999999999999996
10215,50,50,10.2,6.64,10.84,6.24,4,0,0,0.10144812613725662,Q4 (high),-3.5599999999999996
10216,50,50,7.38,5.18,7.84,4.04,2,0,0,0.07894933968782425,Q1 (low),-2.2
10217,50,50,6.54,4.32,6.86,4.02,2,0,0,0.07346214354038239,Q1 (low),-2.2199999999999998
10218,50,50,9.12,7.52,10.3,5.62,6,0,0,0.0965065285563469,Q3,-1.5999999999999996
10219,50,50,9.14,5.8,9.64,4.16,4,0,0,0.09817112982273102,Q3,-3.3400000000000007
10220,50,50,7.02,3.96,7.02,3.96,0,0,0,0.08732276409864426,Q2,-3.0599999999999996
10221,50,50,7.6,6.2,7.6,6.2,0,0,0,0.09069795161485672,Q2,-1.3999999999999995
10222,50,50,7.4,4.16,7.4,4.16,0,0,0,0.0924326628446579,Q2,-3.24
10223,50,50,7.82,4.46,7.86,4.42,2,0,0,0.09841924905776978,Q3,-3.3600000000000003
10224,50,50,8.86,4.34,8.86,4.34,0,0,0,0.09221695363521576,Q2,-4.52
10225,50,50,7.46,5.04,7.46,5.04,0,0,0,0.08192895352840424,Q1 (low),-2.42
10226,50,50,8.88,6.38,8.88,6.38,0,0,0,0.07424788177013397,Q1 (low),-2.500000000000001
10227,50,50,6.76,5.52,7.1,4.3,2,0,0,0.07998278737068176,Q1 (low),-1.2400000000000002
10228,50,50,9.54,5.54,9.94,5.3,2,0,0,0.09618181735277176,Q3,-3.999999999999999
10229,50,50,8.52,5.9,9.12,5.48,2,0,0,0.08819036185741425,Q2,-2.619999999999999
10230,50,50,7.22,3.86,7.56,3.2,2,0,0,0.0882105603814125,Q2,-3.36
10231,50,50,8.44,3.26,8.44,3.26,0,0,0,0.09634894877672195,Q3,-5.18
10232,50,50,7.5,4.12,7.5,4.12,0,0,0,0.09013298153877258,Q2,-3.38
10233,50,50,8.82,5.06,9.6,3.9,6,0,0,0.10692911595106125,Q4 (high),-3.7600000000000007
10234,50,50,10.32,6.06,10.78,5.68,2,0,0,0.10626254230737686,Q4 (high),-4.260000000000001
10235,50,50,11.16,8.16,11.48,7.62,4,0,0,0.11041449755430222,Q4 (high),-3.0
10236,50,50,9.64,4.3,9.64,4.3,0,0,0,0.08380681276321411,Q1 (low),-5.340000000000001
10237,50,50,7.48,4.62,7.48,4.62,0,0,0,0.08827071636915207,Q2,-2.8600000000000003
10238,50,50,8.72,4.4,8.72,4.4,0,0,0,0.11482658237218857,Q4 (high),-4.32
10239,50,50,7.26,5.26,7.74,4.56,5,0,0,0.09156233817338943,Q2,-2.0
10240,50,50,8.78,6.94,8.78,6.94,0,0,0,0.0922788456082344,Q2,-1.839999999999999
10241,50,50,9.38,5.58,9.54,5.52,2,0,0,0.08262930065393448,Q1 (low),-3.8000000000000007
