seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,trial
100052,100,100,12.96,8.01,13.72,6.33,4,0,0,0.08424603939056396,10
100053,100,100,14.83,9.79,16.63,7.54,9,0,0,0.09918662160634995,11
100054,100,100,16.48,7.25,17.44,6.2,7,0,0,0.10336948931217194,12
100055,100,100,13.13,8.55,13.13,8.55,0,0,0,0.0921640694141388,13
100056,100,100,13.89,9.18,14.32,7.72,4,0,0,0.08610402792692184,14
100057,100,100,13.53,6.03,13.53,6.03,0,0,0,0.10003534704446793,15
100058,100,100,14.11,8.05,15.4,6.49,9,0,0,0.09726473689079285,16
100059,100,100,13.93,8.11,14.37,6.76,4,0,0,0.0933942049741745,17
100060,100,100,12.35,8.11,12.66,5.57,5,0,0,0.09549010545015335,18
100061,100,100,13.72,9.47,14.36,8.12,8,0,0,0.08743689954280853,19
100062,100,100,13.07,9.56,13.63,8.97,2,0,0,0.09438430517911911,20
100063,100,100,15.67,9.37,16.49,8.29,8,0,0,0.09842314571142197,21
100064,100,100,13.81,6.18,14.25,5.24,3,0,0,0.09110689908266068,22
100065,100,100,12.29,9.0,13.46,7.89,5,0,0,0.08946137130260468,23
100066,100,100,15.74,11.24,16.87,9.56,6,0,0,0.10499034821987152,24
100067,100,100,14.27,10.82,14.36,10.75,2,0,0,0.09355088323354721,25
100068,100,100,13.25,9.22,13.69,8.18,5,0,0,0.09168197214603424,26
100069,100,100,14.59,7.5,14.86,7.16,2,0,0,0.09503977000713348,27
100070,100,100,14.7,10.5,16.24,7.57,12,0,0,0.09752015024423599,28
100071,100,100,15.62,6.84,16.18,5.83,4,0,0,0.09921309351921082,29
100072,100,100,10.41,7.62,10.67,7.21,2,0,0,0.08655192703008652,30
100073,100,100,12.43,7.3,13.28,6.45,3,0,0,0.09247909486293793,31
100074,100,100,13.94,8.46,13.94,8.46,0,0,0,0.08830492943525314,32
100075,100,100,15.6,7.52,15.6,7.52,0,0,0,0.09511592984199524,33
100076,100,100,12.94,7.36,13.22,6.92,2,0,0,0.08733049780130386,34
100077,100,100,14.05,9.41,14.48,8.4,3,0,0,0.09939096122980118,35
100078,100,100,12.04,6.3,12.18,5.81,2,0,0,0.09381967782974243,36
100079,100,100,12.67,9.19,13.62,6.54,6,0,0,0.08610562980175018,37
100080,100,100,12.09,7.72,12.09,7.72,0,0,0,0.09538552910089493,38
